Employee Id,Emplyee name,Age,Attrition,BusinessTravel,DailyRate,Department,Education,EducationField,Gender,HourlyRate,JobLevel,JobRole,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole
24,Ahmad V Lynde,38,No,Travel_Rarely,371,Research & Development,3,Life Sciences,Male,45,1,Research Scientist,Single,3944,4306,5,Yes,11,3,0,6,3,3,2
26,Mariano F Leary,24,No,Non-Travel,673,Research & Development,2,Other,Female,96,2,Manufacturing Director,Divorced,4011,8232,0,No,18,3,1,5,5,4,2
27,Tawanda E Buchanon,36,Yes,Travel_Rarely,1218,Sales,4,Life Sciences,Male,82,1,Sales Representative,Single,3407,6986,7,No,23,4,0,10,4,5,3
28,Nickolas G Grossi,34,No,Travel_Rarely,419,Research & Development,4,Life Sciences,Female,53,3,Research Director,Single,11994,21293,0,No,11,3,0,13,4,12,6
30,Bradford K Marlatt,21,No,Travel_Rarely,391,Research & Development,2,Life Sciences,Male,96,1,Research Scientist,Single,1232,19281,1,No,14,3,0,0,6,0,0
31,Carlton P Bose,34,Yes,Travel_Rarely,699,Research & Development,1,Medical,Male,83,1,Research Scientist,Single,2960,17102,2,No,11,3,0,8,2,4,2
32,Asuncion X Braunstein,53,No,Travel_Rarely,1282,Research & Development,3,Other,Female,58,5,Manager,Divorced,19094,10735,4,No,11,3,1,26,3,14,13
33,Theron T Kramer,32,Yes,Travel_Frequently,1125,Research & Development,1,Life Sciences,Female,72,1,Research Scientist,Single,3919,4681,1,Yes,22,4,0,10,5,10,2
35,Jeramy F Metoyer,42,No,Travel_Rarely,691,Sales,4,Marketing,Male,48,2,Sales Executive,Married,6825,21173,0,No,11,3,1,10,2,9,7
36,Sol K Roger,44,No,Travel_Rarely,477,Research & Development,4,Medical,Female,42,3,Healthcare Representative,Married,10248,2094,3,No,14,3,1,24,4,22,6
38,Earnest H Birkholz,46,No,Travel_Rarely,705,Sales,4,Marketing,Female,83,5,Manager,Single,18947,22822,3,No,12,3,0,22,2,2,2
39,Amada J Knouse,33,No,Travel_Rarely,924,Research & Development,3,Medical,Male,78,1,Laboratory Technician,Single,2496,6670,4,No,11,3,0,7,3,1,1
40,Gregorio H Hottinger,44,No,Travel_Rarely,1459,Research & Development,4,Other,Male,41,2,Healthcare Representative,Married,6465,19121,2,Yes,13,3,0,9,5,4,2
41,Lawerence W Abernethy,30,No,Travel_Rarely,125,Research & Development,2,Medical,Male,83,1,Laboratory Technician,Single,2206,16117,1,No,13,3,0,10,5,10,0
42,Marina X Quayle,39,Yes,Travel_Rarely,895,Sales,3,Technical Degree,Male,56,2,Sales Representative,Married,2086,3335,3,No,14,3,1,19,6,1,0
45,Whitney N Wasinger,24,Yes,Travel_Rarely,813,Research & Development,3,Medical,Male,61,1,Research Scientist,Married,2293,3020,2,Yes,16,3,1,6,2,2,0
46,Roy W Wilkie,43,No,Travel_Rarely,1273,Research & Development,2,Medical,Female,72,1,Research Scientist,Divorced,2645,21923,1,No,12,3,2,6,3,5,3
47,Hyun Z Bynoe,50,Yes,Travel_Rarely,869,Sales,2,Marketing,Male,86,1,Sales Representative,Married,2683,3810,1,Yes,14,3,0,3,2,3,2
49,Katelin F Coney,35,No,Travel_Rarely,890,Sales,3,Marketing,Female,97,1,Sales Representative,Married,2014,9687,1,No,13,3,0,2,3,2,2
51,Jennifer Z Pridgen,36,No,Travel_Rarely,852,Research & Development,4,Life Sciences,Female,82,1,Research Scientist,Married,3419,13072,9,Yes,14,3,1,6,3,1,1
52,Zachary U Breeden,33,No,Travel_Frequently,1141,Sales,3,Life Sciences,Female,42,2,Sales Executive,Married,5376,3193,2,No,19,3,2,10,3,5,3
53,Deon U Mounce,35,No,Travel_Rarely,464,Research & Development,2,Other,Male,75,1,Laboratory Technician,Divorced,1951,10910,1,No,12,3,1,1,3,1,0
54,Buddy G Steinbeck,27,No,Travel_Rarely,1240,Research & Development,4,Life Sciences,Female,33,1,Laboratory Technician,Divorced,2341,19715,1,No,13,3,1,1,6,1,0
55,Julius N Bakker,26,Yes,Travel_Rarely,1357,Research & Development,3,Life Sciences,Male,48,1,Laboratory Technician,Single,2293,10558,1,No,12,3,0,1,2,1,0
56,Hans G Koh,27,No,Travel_Frequently,994,Sales,3,Life Sciences,Male,37,3,Sales Executive,Single,8726,2975,1,No,15,3,0,9,0,9,8
57,Jamal G Dimarco,30,No,Travel_Frequently,721,Research & Development,2,Medical,Female,58,2,Laboratory Technician,Single,4011,10781,1,No,23,4,0,12,2,12,8
58,Stephan Q Ranger,41,Yes,Travel_Rarely,1360,Research & Development,3,Technical Degree,Female,49,5,Research Director,Married,19545,16280,1,No,12,3,0,23,0,22,15
60,Jackie P Montague,34,No,Non-Travel,1065,Sales,4,Marketing,Male,72,2,Sales Executive,Single,4568,10034,0,No,20,4,0,10,2,9,5
61,Nathanael W Ohl,37,No,Travel_Rarely,408,Research & Development,2,Life Sciences,Male,73,1,Research Scientist,Married,3022,10227,4,No,21,4,0,8,1,1,0
62,Hosea B Michelson,46,No,Travel_Frequently,1211,Sales,4,Marketing,Male,98,2,Sales Executive,Single,5772,20445,4,Yes,21,4,0,14,4,9,6
63,Carly L Sirianni,35,No,Travel_Rarely,1229,Research & Development,1,Life Sciences,Male,36,1,Laboratory Technician,Married,2269,4892,1,No,19,3,0,1,2,1,0
64,Abram S Manrique,48,Yes,Travel_Rarely,626,Research & Development,2,Life Sciences,Male,98,3,Laboratory Technician,Single,5381,19294,9,Yes,13,3,0,23,2,1,0
65,Mica Z Herzberg,28,Yes,Travel_Rarely,1434,Research & Development,4,Technical Degree,Male,50,1,Laboratory Technician,Single,3441,11179,1,Yes,13,3,0,2,3,2,2
68,Lemuel W Hardman,44,No,Travel_Rarely,1488,Sales,5,Marketing,Female,75,2,Sales Executive,Divorced,5454,4009,5,Yes,21,4,1,9,2,4,3
70,Shanelle Z Hick,35,No,Non-Travel,1097,Research & Development,2,Medical,Male,79,3,Healthcare Representative,Married,9884,8302,2,Yes,13,3,1,10,3,4,0
72,Maryellen H Hartness,26,No,Travel_Rarely,1443,Sales,3,Marketing,Female,47,2,Sales Executive,Married,4157,21436,7,Yes,19,3,1,5,2,2,2
73,Sylvester Z Blackledge,33,No,Travel_Frequently,515,Research & Development,2,Life Sciences,Female,98,3,Research Director,Single,13458,15146,1,Yes,12,3,0,15,1,15,14
74,Vivienne X Binion,35,No,Travel_Frequently,853,Sales,5,Life Sciences,Male,71,3,Sales Executive,Married,9069,11031,1,No,22,4,1,9,3,9,8
75,Ahmed C Minch,35,No,Travel_Rarely,1142,Research & Development,4,Medical,Female,30,1,Laboratory Technician,Married,4014,16002,3,Yes,15,3,1,4,3,2,2
76,Leopoldo U Hole,31,No,Travel_Rarely,655,Research & Development,4,Life Sciences,Male,48,2,Laboratory Technician,Divorced,5915,9528,3,No,22,4,1,10,3,7,7
77,Gemma I Chilton,37,No,Travel_Rarely,1115,Research & Development,4,Life Sciences,Male,51,2,Manufacturing Director,Divorced,5993,2689,1,No,18,3,1,7,2,7,5
78,Laurence K Ryles,32,No,Travel_Rarely,427,Research & Development,3,Medical,Male,33,2,Manufacturing Director,Married,6162,10877,1,Yes,22,4,1,9,3,9,8
79,Eleanor D Dickson,38,No,Travel_Frequently,653,Research & Development,5,Life Sciences,Female,50,2,Laboratory Technician,Single,2406,5456,1,No,11,3,0,10,2,10,3
80,Elsy B Latta,50,No,Travel_Rarely,989,Research & Development,2,Medical,Female,43,5,Research Director,Divorced,18740,16701,5,Yes,12,3,1,29,2,27,3
81,Sherwood K Shire,59,No,Travel_Rarely,1435,Sales,3,Life Sciences,Female,99,3,Sales Executive,Single,7637,2354,7,No,11,3,0,28,3,21,16
83,Carolynn V Moynihan,36,No,Travel_Rarely,1223,Research & Development,3,Technical Degree,Female,59,3,Healthcare Representative,Divorced,10096,8202,1,No,13,3,3,17,2,17,14
84,Mckinley H Scofield,55,No,Travel_Rarely,836,Research & Development,3,Medical,Female,33,4,Manager,Divorced,14756,19730,2,Yes,14,3,3,21,2,5,0
85,Brendon V Crowther,36,No,Travel_Frequently,1195,Research & Development,3,Life Sciences,Male,95,2,Manufacturing Director,Single,6499,22656,1,No,13,3,0,6,3,6,5
86,Nancy V Trogdon,45,No,Travel_Rarely,1339,Research & Development,3,Life Sciences,Male,59,3,Research Scientist,Divorced,9724,18787,2,No,17,3,1,25,2,1,0
88,Darin U Shipp,35,No,Travel_Frequently,664,Research & Development,3,Medical,Male,79,1,Research Scientist,Married,2194,5868,4,No,13,3,1,5,2,3,2
90,Joel S Maine,36,Yes,Travel_Rarely,318,Research & Development,3,Medical,Male,79,1,Research Scientist,Married,3388,21777,0,Yes,17,3,1,2,0,1,0
91,Luciana N Campfield,59,No,Travel_Frequently,1225,Sales,1,Life Sciences,Female,57,2,Sales Executive,Single,5473,24668,7,No,11,3,0,20,2,4,3
94,Gilbert Z Bloss,29,No,Travel_Rarely,1328,Research & Development,3,Life Sciences,Male,76,1,Research Scientist,Married,2703,4956,0,No,23,4,1,6,3,5,4
95,Sharda W Choudhury,31,No,Travel_Rarely,1082,Research & Development,4,Medical,Male,87,1,Research Scientist,Single,2501,18775,1,No,17,3,0,1,4,1,1
96,Chung J Moynihan,32,No,Travel_Rarely,548,Research & Development,3,Life Sciences,Male,66,2,Research Scientist,Married,6220,7346,1,No,17,3,2,10,3,10,4
97,Dayna M Edmondson,36,No,Travel_Rarely,132,Research & Development,3,Life Sciences,Female,55,1,Laboratory Technician,Married,3038,22002,3,No,12,3,0,5,3,1,0
98,Bobbie S Miner,31,No,Travel_Rarely,746,Research & Development,4,Life Sciences,Female,61,2,Manufacturing Director,Single,4424,20682,1,No,23,4,0,11,2,11,7
100,Gidget X Loring,35,No,Travel_Rarely,776,Sales,4,Marketing,Male,32,2,Sales Executive,Single,4312,23016,0,No,14,3,0,16,2,15,13
101,Hettie S Lauber,45,No,Travel_Rarely,193,Research & Development,4,Other,Male,52,3,Research Director,Married,13245,15067,4,Yes,14,3,0,17,3,0,0
102,Toi F Stallard,37,No,Travel_Rarely,397,Research & Development,4,Medical,Male,30,3,Research Director,Single,13664,25258,4,No,13,3,0,16,3,5,2
103,Tristan L Cockrell,46,No,Travel_Rarely,945,Human Resources,2,Medical,Male,80,2,Human Resources,Divorced,5021,10425,8,Yes,22,4,1,16,2,4,2
104,Towanda H Matson,30,No,Travel_Rarely,852,Research & Development,1,Life Sciences,Male,55,2,Laboratory Technician,Married,5126,15998,1,Yes,12,3,2,10,1,10,8
105,Leland C Fifield,35,No,Travel_Rarely,1214,Research & Development,3,Medical,Male,30,1,Research Scientist,Single,2859,26278,1,No,18,3,0,6,3,6,4
106,Audria W Barrios,55,No,Travel_Rarely,111,Sales,2,Life Sciences,Male,70,3,Sales Executive,Married,10239,18092,3,No,14,3,1,24,4,1,0
107,Jim J Lurie,38,No,Non-Travel,573,Research & Development,3,Medical,Female,79,2,Research Scientist,Divorced,5329,15717,7,Yes,12,3,3,17,3,13,11
110,Lorette Y Petrillo,34,No,Travel_Rarely,1153,Research & Development,2,Medical,Male,94,2,Manufacturing Director,Married,4325,17736,1,No,15,3,0,5,2,5,2
112,Damian X Grist,56,No,Travel_Rarely,1400,Research & Development,3,Life Sciences,Male,49,3,Manufacturing Director,Single,7260,21698,4,No,11,3,0,37,3,6,4
113,Zana G Ordonez,23,No,Travel_Rarely,541,Sales,1,Technical Degree,Male,62,1,Sales Representative,Divorced,2322,9518,3,No,13,3,1,3,3,0,0
116,Rhett A Chapple,51,No,Travel_Rarely,432,Research & Development,4,Life Sciences,Male,96,1,Laboratory Technician,Married,2075,18725,3,No,23,4,2,10,4,4,2
117,Jeneva Y Bybee,30,No,Travel_Rarely,288,Research & Development,3,Life Sciences,Male,99,2,Healthcare Representative,Married,4152,15830,1,No,19,3,3,11,3,11,10
118,Brendon J Camp,46,Yes,Travel_Rarely,669,Sales,2,Medical,Male,64,3,Sales Executive,Single,9619,13596,1,No,16,3,0,9,3,9,8
119,Nettie T Mccandless,40,No,Travel_Frequently,530,Research & Development,4,Life Sciences,Male,78,4,Healthcare Representative,Married,13503,14115,1,No,22,4,1,22,3,22,3
120,Lezlie Z Bohannan,51,No,Travel_Rarely,632,Sales,4,Marketing,Male,71,2,Sales Executive,Single,5441,8423,0,Yes,22,4,0,11,2,10,7
121,Hester B Cabana,30,No,Travel_Rarely,1334,Sales,2,Medical,Female,63,2,Sales Executive,Divorced,5209,19760,1,Yes,12,3,3,11,4,11,8
124,Isobel K Dance,46,No,Travel_Frequently,638,Research & Development,3,Medical,Male,40,3,Healthcare Representative,Married,10673,3142,2,Yes,13,3,1,21,5,10,9
125,Erica S Harlan,32,No,Travel_Rarely,1093,Sales,4,Medical,Male,87,2,Sales Executive,Single,5010,24301,1,No,16,3,0,12,0,11,8
126,Leda X Haskell,54,No,Travel_Rarely,1217,Research & Development,4,Technical Degree,Female,60,3,Research Director,Married,13549,24001,9,No,12,3,1,16,5,4,3
128,Loralee V Ball,24,No,Travel_Rarely,1353,Sales,2,Other,Female,33,2,Sales Executive,Married,4999,17519,0,No,21,4,1,4,2,3,2
129,Otha T Orrell,28,No,Non-Travel,120,Sales,3,Medical,Male,43,2,Sales Executive,Married,4221,8863,1,No,15,3,0,5,3,5,4
131,Honey D Eaves,58,No,Travel_Rarely,682,Sales,4,Medical,Male,37,4,Sales Executive,Single,13872,24409,0,No,13,3,0,38,1,37,10
132,Ellis V Mcneel,44,No,Non-Travel,489,Research & Development,3,Medical,Male,67,2,Laboratory Technician,Married,2042,25043,4,No,12,3,1,17,3,3,2
133,Gabriel S Beale,37,Yes,Travel_Rarely,807,Human Resources,4,Human Resources,Male,63,1,Human Resources,Divorced,2073,23648,4,Yes,22,4,0,7,3,3,2
134,Nathanael G Mcmillin,32,No,Travel_Rarely,827,Research & Development,1,Life Sciences,Male,71,1,Research Scientist,Single,2956,15178,1,No,13,3,0,1,2,1,0
137,Donald H Mazur,20,Yes,Travel_Frequently,871,Research & Development,3,Life Sciences,Female,66,1,Laboratory Technician,Single,2926,19783,1,Yes,18,3,0,1,5,1,0
138,Eliz R Linneman,34,No,Travel_Rarely,665,Research & Development,4,Other,Female,41,2,Research Scientist,Single,4809,12482,1,No,14,3,0,16,3,16,13
139,Gracie P Lett,37,No,Non-Travel,1040,Research & Development,2,Life Sciences,Male,100,2,Healthcare Representative,Divorced,5163,15850,5,No,14,3,1,17,2,1,0
140,Gema S Grover,59,No,Non-Travel,1420,Human Resources,4,Human Resources,Female,32,5,Manager,Married,18844,21922,9,No,21,4,1,30,3,3,2
141,Delana Y Freedman,50,No,Travel_Frequently,1115,Research & Development,3,Life Sciences,Female,73,5,Research Director,Married,18172,9755,3,Yes,19,3,0,28,1,8,3
142,Mary Y Tate,25,Yes,Travel_Rarely,240,Sales,3,Marketing,Male,46,2,Sales Executive,Single,5744,26959,1,Yes,11,3,0,6,1,6,4
143,Abe J Macleod,25,No,Travel_Rarely,1280,Research & Development,1,Medical,Male,64,1,Research Scientist,Married,2889,26897,1,No,11,3,2,2,2,2,2
144,Evon Q Lawson,22,No,Travel_Rarely,534,Research & Development,3,Medical,Female,59,1,Laboratory Technician,Single,2871,23785,1,No,15,3,0,1,5,0,0
145,Jerlene P Dunnigan,51,No,Travel_Frequently,1456,Research & Development,4,Medical,Female,30,3,Healthcare Representative,Single,7484,25796,3,No,20,4,0,23,1,13,12
147,Bobbie X Schoenrock,34,Yes,Travel_Frequently,658,Research & Development,3,Life Sciences,Male,66,2,Laboratory Technician,Single,6074,22887,1,Yes,24,4,0,9,3,9,7
148,Mike A Waddington,54,No,Non-Travel,142,Human Resources,3,Human Resources,Female,30,4,Manager,Single,17328,13871,2,Yes,12,3,0,23,3,5,3
150,Nigel K Wadsworth,24,No,Travel_Rarely,1127,Research & Development,1,Life Sciences,Male,52,1,Laboratory Technician,Married,2774,13257,0,No,12,3,1,6,2,5,3
151,Hayden E Novack,34,No,Travel_Rarely,1031,Research & Development,4,Life Sciences,Female,45,2,Research Scientist,Divorced,4505,15000,6,No,15,3,1,12,3,1,0
152,Voncile P Trojanowski,37,No,Travel_Rarely,1189,Sales,3,Life Sciences,Male,87,3,Sales Executive,Single,7428,14506,2,No,12,3,0,12,3,5,3
153,Roberto U Derry,34,No,Travel_Rarely,1354,Research & Development,3,Medical,Female,45,3,Manager,Single,11631,5615,2,No,12,3,0,14,6,11,10
154,Tona S Huseby,36,No,Travel_Frequently,1467,Sales,2,Technical Degree,Female,92,3,Sales Executive,Married,9738,22952,0,No,14,3,1,10,6,9,7
155,Londa T Maya,36,No,Travel_Rarely,922,Research & Development,2,Life Sciences,Female,39,1,Laboratory Technician,Divorced,2835,2561,5,No,22,4,1,7,2,1,0
158,Jocelyn Q Scotti,43,No,Travel_Frequently,394,Sales,2,Life Sciences,Male,92,4,Manager,Married,16959,19494,1,Yes,12,3,2,25,3,25,12
159,Frank O Mallon,30,No,Travel_Frequently,1312,Research & Development,3,Life Sciences,Male,96,1,Research Scientist,Divorced,2613,22310,1,No,25,4,3,10,2,10,7
160,Kurtis C Irons,33,No,Non-Travel,750,Sales,2,Marketing,Male,95,2,Sales Executive,Married,6146,15480,0,No,13,3,1,8,2,7,7
161,Jamey S Seim,56,Yes,Travel_Rarely,441,Research & Development,4,Life Sciences,Female,72,1,Research Scientist,Married,4963,4510,9,Yes,18,3,3,7,2,5,4
162,Walton S Keim,51,No,Travel_Rarely,684,Research & Development,3,Life Sciences,Male,51,5,Research Director,Single,19537,6462,7,No,13,3,0,23,5,20,18
163,Micki R Jauregui,31,Yes,Travel_Rarely,249,Sales,4,Life Sciences,Male,76,2,Sales Executive,Married,6172,20739,4,Yes,18,3,0,12,3,7,7
164,Ngoc X Watson,26,No,Travel_Rarely,841,Research & Development,3,Other,Female,46,1,Research Scientist,Married,2368,23300,1,No,19,3,0,5,3,5,4
165,Inocencia Z Buteau,58,Yes,Travel_Rarely,147,Research & Development,4,Medical,Female,94,3,Healthcare Representative,Married,10312,3465,1,No,12,3,1,40,3,40,10
167,Charlie V Koeller,19,Yes,Travel_Rarely,528,Sales,1,Marketing,Male,50,1,Sales Representative,Single,1675,26820,1,Yes,19,3,0,0,2,0,0
169,Rosy U Baumeister,22,No,Travel_Rarely,594,Research & Development,1,Technical Degree,Male,100,1,Laboratory Technician,Married,2523,19299,0,No,14,3,1,3,2,2,1
170,Charity N Denman,49,No,Travel_Rarely,470,Research & Development,4,Medical,Female,96,2,Manufacturing Director,Married,6567,5549,1,No,14,3,0,16,2,15,11
171,Luke S Tumlin,43,No,Travel_Frequently,957,Research & Development,3,Medical,Female,72,1,Research Scientist,Single,4739,16090,4,No,12,3,0,18,2,3,2
174,Hannah K Ma,50,No,Travel_Frequently,809,Sales,3,Marketing,Female,77,3,Sales Executive,Single,9208,6645,4,No,11,3,0,16,3,2,2
175,Celinda C Magruder,31,Yes,Travel_Rarely,542,Sales,3,Life Sciences,Female,71,2,Sales Executive,Married,4559,24788,3,Yes,11,3,1,4,2,2,2
176,Arturo N Halvorsen,41,No,Travel_Rarely,802,Sales,1,Life Sciences,Male,96,3,Sales Executive,Divorced,8189,21196,3,Yes,13,3,1,12,2,9,7
177,Tiny Z Oliveri,26,No,Travel_Rarely,1355,Human Resources,1,Life Sciences,Female,61,1,Human Resources,Married,2942,8916,1,No,23,4,1,8,3,8,7
178,Kerri Y Card,36,No,Travel_Rarely,216,Research & Development,2,Medical,Male,84,2,Manufacturing Director,Divorced,4941,2819,6,No,20,4,2,7,0,3,2
179,Young W Funes,51,Yes,Travel_Frequently,1150,Research & Development,4,Life Sciences,Male,53,3,Manufacturing Director,Single,10650,25150,2,No,15,3,0,18,2,4,2
182,Neomi P Pitchford,39,No,Travel_Rarely,1329,Sales,4,Life Sciences,Female,47,2,Sales Executive,Married,5902,14590,4,No,14,3,1,17,1,15,11
183,Ivan A Groner,25,No,Travel_Rarely,959,Sales,3,Life Sciences,Male,41,2,Sales Executive,Married,8639,24835,2,No,18,3,0,6,3,2,2
184,Etsuko O Wilmot,30,No,Travel_Rarely,1240,Human Resources,3,Human Resources,Male,48,2,Human Resources,Married,6347,13982,0,Yes,19,3,0,12,2,11,9
190,William B Mcnerney,32,Yes,Travel_Rarely,1033,Research & Development,3,Medical,Female,41,1,Laboratory Technician,Single,4200,10224,7,No,22,4,0,10,2,5,4
192,Logan D Berryman,45,No,Travel_Rarely,1316,Research & Development,3,Medical,Male,83,1,Research Scientist,Single,3452,9752,5,No,13,3,0,9,2,6,5
193,Houston K Joe,38,No,Travel_Rarely,364,Research & Development,5,Technical Degree,Female,32,2,Research Scientist,Single,4317,2302,3,Yes,20,4,0,19,2,3,2
194,Coy I Gentner,30,No,Travel_Rarely,438,Research & Development,3,Life Sciences,Female,75,1,Research Scientist,Single,2632,23910,1,No,14,3,0,5,4,5,4
195,Jimmie F Vasquez,32,No,Travel_Frequently,689,Sales,2,Medical,Male,35,2,Sales Executive,Divorced,4668,22812,0,No,17,3,3,9,2,8,7
197,Tommie S Fargo,30,No,Travel_Rarely,201,Research & Development,3,Technical Degree,Female,84,1,Research Scientist,Divorced,3204,10415,5,No,14,3,1,8,3,3,2
198,Daina U Ledet,30,No,Travel_Rarely,1427,Research & Development,1,Medical,Male,35,1,Laboratory Technician,Single,2720,11162,0,No,13,3,0,6,3,5,3
199,Sophia F Knecht,41,No,Travel_Frequently,857,Research & Development,3,Life Sciences,Male,91,4,Manager,Divorced,17181,12888,4,No,13,3,1,21,2,7,6
200,Newton V Scalia,41,No,Travel_Rarely,933,Research & Development,4,Life Sciences,Male,94,1,Laboratory Technician,Married,2238,6961,2,No,21,4,1,7,2,5,0
201,Reatha E Osby,19,No,Travel_Rarely,1181,Research & Development,1,Medical,Female,79,1,Laboratory Technician,Single,1483,16102,1,No,14,3,0,1,3,1,0
202,Bell N Molinaro,40,No,Travel_Frequently,1395,Research & Development,3,Medical,Female,54,2,Research Scientist,Divorced,5605,8504,1,No,11,3,1,20,2,20,7
204,Jason V Gravois,35,No,Travel_Rarely,662,Sales,5,Marketing,Male,94,3,Sales Executive,Married,7295,11439,1,No,13,3,2,10,3,10,8
205,Elwood T More,53,No,Travel_Rarely,1436,Sales,2,Marketing,Male,34,2,Sales Representative,Married,2306,16047,2,Yes,20,4,1,13,3,7,7
206,Lewis M Racette,45,No,Travel_Rarely,194,Research & Development,3,Life Sciences,Male,60,2,Laboratory Technician,Divorced,2348,10901,8,No,18,3,1,20,2,17,9
207,Leigh Y Haws,32,No,Travel_Frequently,967,Sales,3,Marketing,Female,43,3,Sales Executive,Single,8998,15589,1,No,14,3,0,9,2,9,8
208,Thomas B Felipe,29,No,Non-Travel,1496,Research & Development,1,Technical Degree,Male,41,2,Manufacturing Director,Married,4319,26283,1,No,13,3,1,10,1,10,7
211,Israel T Hertzler,51,No,Travel_Rarely,1169,Research & Development,4,Medical,Male,34,2,Manufacturing Director,Married,6132,13983,2,No,17,3,0,10,2,1,0
214,Ona K Koepp,58,No,Travel_Rarely,1145,Research & Development,3,Medical,Female,75,1,Research Scientist,Married,3346,11873,4,Yes,20,4,1,9,3,1,0
215,Kristofer N Calahan,40,No,Travel_Rarely,630,Sales,4,Marketing,Male,67,3,Sales Executive,Married,10855,8552,7,No,11,3,1,15,2,12,11
216,Mark F Hamman,34,No,Travel_Frequently,303,Sales,4,Marketing,Female,75,1,Sales Representative,Married,2231,11314,6,No,18,3,1,6,3,4,3
217,Bobbie Q Holbrook,22,No,Travel_Rarely,1256,Research & Development,1,Medical,Male,80,1,Research Scientist,Married,2323,11992,1,No,24,4,2,2,6,2,2
218,Abe X Paro,27,No,Non-Travel,691,Research & Development,3,Medical,Male,57,1,Research Scientist,Divorced,2024,5970,6,No,18,3,1,6,1,2,2
221,Mignon Q Dills,28,No,Travel_Rarely,440,Research & Development,3,Medical,Male,42,1,Research Scientist,Married,2713,6672,1,No,11,3,1,5,2,5,2
223,Casey D Krier,57,No,Travel_Rarely,334,Research & Development,2,Life Sciences,Male,83,3,Healthcare Representative,Divorced,9439,23402,3,Yes,16,3,1,12,2,5,3
